datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
2,Algaebase,"Guiry, M.D. & Guiry, G.M. 2012. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on dd Month yyyy.",NA,"For more information on the restrictions, use contact information.",NA,"AlgaeBase is a database of information on algae that includes terrestrial, marine and freshwater organisms. At present, the data for the marine algae, particularly seaweeds, are the most complete.","Organisms included in AlgaeBase are marine, freshwater and terrestrial algae, although currently the data for marine organisms are the most complete. <b>Cyanobacteria</b> (blue-green algae), <b>Rhodophyta</b> (red algae), <b>Phaeophyceae</b> (brown algae), <b>Chlorophyta</b> (green algae), <b>Discomitochondria</b> (=Euglenophyta), <b>Streptophyta</b> (=Charophyta), <b>Bacillariophyceae</b> (diatoms), <b>Dinoflagellata</b> (dinoflagellates) and <b>Cryptophyta</b> are all treated, together with a number of smaller groups. For convenience, we have included sea-grasses, although these are flowering plants and not algae. The taxon Fungi appears in the ""Taxonomy Browser"" because of Mastodia, a genus of lichenized fungi first based on an Antarctic alga.<p>We are endeavouring to add as many names as possible to AlgaeBase, although in a number of instances no data are provided other than the names and the nomenclatural authorities. In other instances, the synonyms and current names and synonyms have not been connected up (and are labelled as ""Provisional""). We think it important that searchers for names find them, and links are provided to GenBank, Index Nominum Algarum, and other sources that may provide additional information.<p>Data on this site are based mainly on published information. This information should always be verified by you, the user, prior to use, as is the normal practice. Distributional data are recorded on the basis of the name used in the publication in question, and some of these names may be misapplied. We are annotating such records as we become aware of them, but these notes are not available just now.<p>AlgaeBase is often a compromise of taxonomic opinions that may or may not reflect your particular conclusions. It is also a work in progress, and is thus incomplete. Please note that AlgaeBase is purely meant as an aid to taxonomic studies and not a definitive source in its own right. You should always check the information included prior to use.<p>During 2002-2011 AlgaeBase was funded by the Higher Education Authority and the then Department of Education & Science, Ireland, under the Priority Research for Third-level Insitutions (PRTLI) Programme Cycles 3 and 4 (itself funded by the EU Structural Funds Programme 2003-2013 and European Regional Development Fund) via the Ryan Institute, and by the European Union as the SeaweedAfrica project (2007-2005, INCO-DEV Contract ICA4-CT2001-10030). Acadian Seaplants Limited, Canada kindly subvents AlgaeBase annually.<p>Many organisations and people have funded, supported and contributed to AlgaeBase since its small beginnings on 20 March 1996. A full list is available on <a href=""http://www.algaebase.org/contributors/"">www.algaebase.org/contributors/</a>.",Michael Guiry,FALSE,FALSE,"Biology , Ecology - biodiversity , Macroalgae","Algae , Classification , Data , Marine Genomics , Species , Taxonomy"
24,Dispersal of pelagic organisms of the Belgian Continental Shelf,"Rappé, K.; Gheerardyn, H.. (2004). Dispersal of pelagic organisms of the Belgian Continental Shelf. Afdeling Mariene Biologie - Ugent, Belgium. Http://www.vliz.be/imis/imis.php?module=dataset&dasid=24",NA,Attribution (CC BY),,"Study of the dispersion and dispersal mechanisms of pelagic key species on the Belgian Continental Shelf (BCS). The focus of the dataset is on those species that have a pelagic life-style or have pelagic larvae, mainly clupeidae.
The Belgian coastal waters are internationally very important areas for a number of sea and coastal birds. Studying the distribution patterns of the possible food sources (i.c. Pelagic fish) of these birds will lead to a better understanding of their spatial distribution patterns.
Sampling is done with the Zeeleeuw R.V. Underway data is registrated in MIDAS.","Between January 2003 and February 2004 samples were taken on a monthly basis at eight different station in the Belgian Continental Shelf. The pelagic fish samples were taken using a MIK-net (Midwater Isaac's Kidd trawl) with a mesh size of 3 by 3 mm. 
At each station trawling took place above the bottom and below the water surface and a number of environmental parameters were recorded (turbidity, salinity en temperature) using a CTD-scan (SBE 19plus). All fish identified to species, counted, measured and densities were calculated. For dominant species, focus was on spatial and temporal variation as well as size distribution.",Karen Rappé,FALSE,FALSE,"Biology , Fish","Belgian continental shelf , Birds , Data , Dispersal phenomena , Fish , Marine Genomics , Pelagic fisheries"
54,"Meiobenthos at station 115bis in the Belgian Part of the North Sea, 1999.","Steyaert, M. (1999). Meiobenthos at station 115bis - bentho-pelagic coupling. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.",NA,Attribution (CC BY),,"The abundance, community composition and species diversity of the nematode community at a station on the Belgian Continental Shelf is documented on a monthly basis. This study was carried out as part of a PhD thesis","The response of a nematode community to phytoplankton sedimentation was investigated at an organically enriched station on the Belgian coast, 115 bis. Both structural (abundance, community comosition and species diversity) and functional (trophic composition) aspects of the nematode community were evaluated on a monthly basis. The phytoplankton community was analysed by examining diatoms and <i>Phaeocystis</i> colonies in surface waters. To assess phytoplankton sedimentation, pigment content of the sediment was determined on a regular basis.",Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Onderzoeksgroep Mariene Biologie,FALSE,FALSE,"Biology , Benthos , Invertebrates","Continental shelf , Meiobenthic organisms , Meiobenthos , Nematoda"
56,"Metabolism, reproduction and moulting as endpoints to study endocrine disruption of Neomysis integerin the Scheldt Estuary","Ghekiere A., Verslycke T., De Smet L., Van Beeumen J., Janssen C.R.; Environmental toxicology research group - Ugent; (2004): Metabolism, reproduction and moulting as endpoints to study endocrine disruption of Neomysis integerin the Scheldt Estuary",NA,Attribution (CC BY),,This dataset results out of the study into ecotoxicological evaluation of the effects of endocrine disrupting substances occurring in the Scheldt estuary on resident mysid shrimp populations (laboratory and field studies).,"The data results from a number of lab tests.To evaluate the possible effects of the pollutants on mysid shrimp, acute and chronic test will be performed in the laboratory. Different endpoints to study endocrine disruption are metabolism, reproduction, vitellogenesis and moulting.",An Ghekiere,FALSE,FALSE,"Biology , Invertebrates , Environmental quality/pollution","Biomarkers , Crustacea , Energy , Estrogens , Metabolism , Moulting , Reproduction , Vitellogenesis"
82,Taxonomic Information System for the Belgian coastal area,"Flanders Marine Institute (VLIZ). Taxonomic Information System for the Belgian coastal area. 10 Aug 2004, Oostende, Belgium, Accessed on [dd/mm/yyyy].",NA,Attribution (CC BY),,Taxonomic Information System for the Belgian coastal area. Biogeographical information on (mainly) Belgian species. Focus area of the dataset spans from north of Wimereux (northern France) to the Scheldt estuary (southern Netherlands).,"With TISBE, VLIZ tries to develop a comprehensive list of species recorded from the Belgian coast, the Southern Bight of the North Sea and the surrounding countries. The focal area for this database spans from northern France (rocky shores north of Wimereux, where the fauna changes dramatically) to southern Holland, including the Delta area and whole of the tidal part of the Scheldt estuary. Distributions from further away are recorded only if the are listed in publications dealing mainly with distribution records from the focus area. The precision with which the distribution records, both on the geographical and on the temporal scale, are recorded, is variable: the closer a record is to the focal area, the more details we try and record. 

The sources of information are mainly published literature. All distribution records contain a description of the source. Leaving such an 'audit trail' makes it possible to check the validity of every single distribution record by going back to the sources of our information. 

TISBE is build on top of VLIZ's species register, Aphia, and this web application always contains links to taxonomic details, and other taxon-specific information, as they are known in Aphia. From within TISBE, only those species are visible that are known to occur in the area.",Leen Vandepitte,FALSE,FALSE,"Biology , Benthos , Birds , Fish , Macroalgae , Mammals , Phytoplankton , Zooplankton , Reptiles","Bibliographic information , Biogeography , Biology , Ecology , Habitat , Morphology (organisms) , Taxonomy"
137,Hyperbenthic communities of the North Sea,"Dewicke, A; Marine Biology Section (MARBIOL) – Ugent, Belgium; (2014): Hyperbenthic communities of the North Sea",NA,Attribution-ShareAlike (CC BY-SA),NA,The spatio-temporal distribution of the hyperbenthos communities of the North Sea as well as the regulating factors shaping these communities were studied.,"The spatio-temporal distribution of the hyperbenthos communities of the North Sea as well as the regulating factors shaping these communities were studied. This was approached by examining species composition, density, biomass and diversity of the hyperbenthos within well-chosen areas of the North Sea.",Ann Dewicke,FALSE,FALSE,"Biology , Benthos , Invertebrates","Benthic communities , Data , Hyperbenthos , Marine Genomics"
146,Epi- and hyperbenthic communities of Belgian sandy beaches,,NA,Attribution (CC BY),NA,"This is the first study on the epi- and hyperbenthic fauna of the surf zone of sandy beaches of the Belgian coast. Therefore, as a first objective of this thesis, a lot of attention has been paid to the inventarisation (species composition), and to the investigation of the temporal and spatial distribution patterns of both communities. A temporal and a spatial campaign were performed during which the hyper- and epibenthos was sampled.","During the temporal campaign monthly samples were taken at 4 selected stations and the spatial campaign involved sampling of 12 stations along the Belgian coast. All in all, the surf zone of the Belgian coast is a habitat for a considerable number of species. The surf zone harbours a rich hyperbenthic fauna and also the epibenthic assemblage is diverse. Total hyper- and epibenthic densities were comparable or even higher than those of the adjacent, subtidal regions. It seems that the Belgian surf zone can be seen as an extension of the rich shallow sand bank system in front of the coast. Differences in total hyperbenthic densities with other European sandy beaches might be linked to the degree of exposure. An attempt was made to elucidate the major environmental variables structuring the communities. Therefore several environmental variables were measured at the moments of sampling. Different uni- and multivariate statistical techniques were used for the analyses of the data. Although clear temperature-related seasonal distribution patterns were observed, the hyper- and epibenthic communities of the surf zone can also be influenced severely by hydrodynamic factors and this both by short-term events (e.g. storm) and long-term effects (influence on morpho- dynamics of the beach). Spatial differences were found both in species richness and in density. In general, highest hyper- and epibenthic densities were found on flat, wide beaches, but also intermediate sites and sites with a high turbidity were characterised with high densities and a high number of species. Although clear distribution patterns could be observed, the much lower densities of the epibenthos compared to the hyperbenthos, might require a higher sampling effort with replicate sampling in future research. Furthermore, this study indicates that both intertidal and subtidal characteristics should be considered if the (mobile) surf zone fauna is investigated. Stomach/gut content analyses were performed on five common flatfish fish species from epibenthic samples taken during the temporal campaign in order to unravel part of the surf zone food web. Additional fish were obtained from commercial fishermen. Prey items of all species included hyperbenthic (e.g. mysids), endobenthic (e.g. polychaetes) and epibenthic (e.g. shrimps) species. Little dietary overlap was observed. If diet overlap did occur, it mainly involved prey species that are dominant in the surf zone of the studied beaches, such as shrimps and mysids. These results confirm the opportunistic utilisation by flatfish of the available food resources in surf zone ecosystems. Such opportunistic utilisation of food resources can be important for teleosts frequenting physically stressed environments such as surf-exposed beaches. The diets of turbot Scophthalmus maximus and brill Scophthalmus rhombus reveal part of the main interactions between the hyper- and epibenthos, whereas those of plaice Pleuronectes platessa, dab Limanda limanda and sole Solea solea reveal important links between the epibenthos and the macro-endobenthos within the local surf zone food web. Three 24-hours sampling cycles were performed to study short term migration patterns. Again the hyper- and epibenthos was sampled alternatingly each hour. Stomach content analyses were performed on juvenile plaice Pleuronectes platessa of the first 24h-cycle (spring tide). Possible interactions between the epi- and hyperbenthic organisms are discussed. Despite the turbulent conditions of the studied sites, clear tidal (e.g. I-group plaice Pleuronectes platessa, the brown shrimp Crangon crangon) and diurnal (e.g. juvenile sole Solea solea) periodicities were observed in many macrocrustacean and demersal fish species. An opportunistic utilisation of available food resources is again suggested as I-group plaice clearly migrate high up the beach during flood to disperse in order to profit from the rich macrobenthic area (mainly the polychaete Scolelepis squamata and ends of Arenicola species), while the 0-group feeds mainly on the most abundant hyper- and macrobenthic organisms from somewhat deeper water (mainly palps of the polychaete Magelona papillicornis and cyprid larvae). Finally, it can be concluded that the Belgian surf zone functions as a nursery and/or transient are for hyper- as well as epibenthic stages of several species.",Bregje Beyst,FALSE,FALSE,"Biology , Benthos , Coastal studies (e.g. shores, estuaries)","Beaches , Benthic communities , Epibenthos , Hyperbenthos , Sandy beaches"
153,"Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities","Cattrijsse, A.; Verween, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities. http://www.vliz.be/nl/imis?module=dataset&dasid=153",NA,Attribution (CC BY),NA,"The hyperbenthic community of subtidal sandbanks is described (density, species composition) and related to abiotic variables in order to get an idea about the habitats and the biota of the sandbanks.","Sampling took place at 3 different Sand Banks: the Oosthinder, the Kwintebank and the Thorntonbank. At each bank, 6 stations were sampled, once in spring and once in authumn.",André Cattrijsse,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Benthic communities , Ecosystem functioning , Habitat , Hyperbenthos , Sand banks"
156,Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations,"Cattrijsse, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations. Http://www.vliz.be/nl/imis?module=dataset&dasid=156",NA,Attribution (CC BY),NA,Spatial and temporal distribution patterns of the epi- and hyperbenthic community were studied at the monitoring stations on the Belgian Continental Shelf.,NA,André Cattrijsse,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Benthic communities , Epibenthos , Hyperbenthos , Sand banks , Spatial variations , Temporal variations"
162,The hyperbenthos of subtidal sandbanks on the Belgian Continental Shelf: habitats and indicator species,"Willems, K.; Cattrijsse, A.; Marine Biology Research Group - Ugent: Belgium; (2004): The hyperbenthos of subtidal sandbanks on the Belgian Continental Shelf: habitats and indicator species. Marine data Archive. https://doi.org/10.14284/593", https://doi.org/10.14284/593,Attribution (CC BY),NA,"The structural biodiversity of the hyperbenthos of subtidal sandbanks on the BCS is studied. Furthermore, ecological indicator species are determined which can be usefull parameters for policy makers.",NA,André Cattrijsse,FALSE,FALSE,"Biology , Benthos","Benthic communities , Hyperbenthos , Sand banks"
