mrgid,datasetid,n
25177,1947,132
25177,5685,5
25177,5922,99
25177,6386,4673
25177,8015,70
25177,8016,6865
25177,8018,2061
25177,8021,196
25178,505,82
25178,640,17738
25178,690,25329
25178,1866,12
25178,1884,67
25178,1947,85
25178,5247,73203
25178,5464,4
25178,5666,28
25178,5685,733
25178,5922,21877
25178,5986,1
25178,5991,8
25178,6177,311
25178,6182,989
25178,6183,1151
25178,6186,1384
25178,6187,2195
25178,6190,274
25178,6191,791
25178,6194,2276
25178,6195,141
25178,8015,49520
25178,8016,167225
25178,8018,59475
25178,8019,85487
25178,8021,38497
25179,490,3
25179,1866,210
25179,1982,267
25179,5097,1
25179,5520,17
25179,5991,8
25179,6454,6
25179,6527,1
25180,490,64
25180,1866,3
25180,5097,4
25180,5122,1
25180,5144,1
25180,5463,2
25180,5520,70
25180,5885,5
25180,5986,19
25180,5991,1
25180,6527,1
25181,490,57
25181,1866,19
25181,2739,25
25181,2897,1
25181,5136,1
25181,5520,32
25181,5986,6
25181,5987,9
25181,5991,3
25181,6454,377
25181,6462,6
25184,4412,57
25184,5984,3
25184,5986,137
25184,5987,2
25184,5991,9
25184,6462,6
25184,6666,57
25185,213,5512
25185,490,93
25185,1306,369
25185,1866,15
25185,2855,4
25185,2856,1
25185,2858,1
25185,4411,3
25185,4412,9465
25185,4555,1876
25185,4596,1
25185,5136,11
25185,5463,4
25185,5464,7
25185,5481,53
25185,5520,2
25185,5923,291
25185,5984,6
25185,5986,371
25185,5987,8
25185,5991,299
25185,6454,89
25185,6462,116
25185,6527,53
25185,6666,12869
25185,6701,38
25186,490,184
25186,987,1
25186,1306,5
25186,1866,6
25186,2855,1
25186,2861,1
25186,3001,787
25186,4357,4
25186,4555,5
25186,5097,2
25186,5122,3
25186,5136,1
25186,5137,1
25186,5144,3
25186,5463,598
25186,5464,537
25186,5520,27
25186,5885,64
25186,5987,9
25186,5991,3
25186,6454,93
25186,6462,185
25186,6527,46
25186,6701,80
25188,1866,849
25188,1982,946
25188,2855,3
25188,4357,66
25188,5991,10
25188,6007,1334
25188,6462,9
25188,6527,7
25188,7974,2
25189,490,33
25189,1866,23
25189,1982,16
25189,5520,26
25189,5991,2
25190,1866,1
25190,4357,9
25190,5520,2
25190,5986,1
25190,5991,38
25190,6454,55
25190,6527,4
25191,5127,1
25191,5991,2
25191,6462,14
25192,6462,11
25193,2858,1
25194,1866,10
25194,2855,1
25194,2858,2
25194,2861,2
25194,4620,48
25194,5463,4
25194,5991,24
25194,6462,8
25194,6527,8
25194,6541,2048
25195,490,25
25195,598,421
25195,630,45
25195,1866,23
25195,2855,1
25195,2897,2
25195,5127,1
25195,5144,4
25195,5463,2
25195,5520,29
25195,5885,34
25195,5991,25
25195,6462,12
25195,6527,15
25195,6539,49
25196,2856,3
25196,5144,3
25196,5987,2
25196,5991,2
25196,6527,13
25197,1866,60
25197,2855,3
25197,2856,1
25197,4357,14
25197,5127,5
25197,5463,8
25197,5520,4
25197,5885,3
25197,5987,1
25197,5991,5
25197,6454,157
25197,6701,152
25197,7974,1
25198,490,46
25198,630,1
25198,1866,2
25198,4240,17
25198,4241,182
25198,4242,9
25198,4357,2
25198,5463,1
25198,5515,34
25198,5516,7
25198,5519,283
25198,5520,2
25198,5521,266
25198,5522,22
25198,5523,109
25198,5525,795
25198,5526,56
25198,5527,160
25198,5528,15
25198,5530,86
25198,6008,186
25198,6009,3
25198,6011,120
25198,6014,8
25198,6015,10
25198,6527,4
25201,4606,1
25201,5520,2
25201,5991,1
25201,6462,1
25202,1204,117
25202,5256,964
25202,5257,81
25202,7865,299
25202,7866,129
25203,1204,339
25203,2770,510
25203,5256,3810
25203,5257,1685
25203,5258,620
25203,5259,728
25203,5260,189
25203,5261,80
25203,5650,270
25203,5661,2068
25203,5663,1925
25203,6671,1674
25204,2770,801
25205,626,169
25205,627,128
25205,628,177
25205,1204,393
25205,2770,6282
25205,2861,1
25205,2885,571
25205,2886,118
25205,5256,535
25205,5257,205
25205,5259,26
25205,5260,141
25205,5261,32
25205,5663,58
25205,6469,317
25205,6470,59
25205,6471,196
25205,6472,122
25205,6473,200
25205,6483,181
25206,1866,1
25206,3085,143
25206,3086,598
25206,3129,89
25206,5256,87
25206,5991,1
25207,2770,475
25207,5464,1
25209,4376,961
25209,4379,754
25210,4376,702
25210,4379,295
25211,640,555
25211,1947,1825
25211,2997,1504
25211,3067,180
25211,5247,1
25211,5666,1
25211,5685,6
25211,5817,11
25211,5922,1073
25211,6177,738
25211,6192,32
25211,6193,301
25211,6386,12340
25211,8015,7984
25211,8016,3717
25211,8017,1531
25211,8018,1601
25211,8021,849
25212,505,334
25212,640,37870
25212,657,5702
25212,690,1218
25212,692,801
25212,1600,3705
25212,1866,1
25212,1883,479
25212,1884,44
25212,2992,6281
25212,2997,60375
25212,3067,3026
25212,3068,100
25212,3094,611
25212,3187,127
25212,3189,6
25212,3192,755
25212,3193,6
25212,4215,7
25212,5247,3369
25212,5666,59
25212,5670,445
25212,5685,331
25212,5922,129076
25212,5987,1
25212,5991,46
25212,6177,2565
25212,6192,441
25212,6193,3028
25212,8015,71367
25212,8016,69035
25212,8017,117735
25212,8018,37261
25212,8019,8510
25212,8020,13187
25212,8021,127208
25213,505,16
25213,640,1365
25213,657,19
25213,692,1805
25213,1884,154
25213,2992,4441
25213,2997,7753
25213,3068,13041
25213,3094,11
25213,3187,1
25213,5247,1
25213,5666,33
25213,5685,134
25213,5922,28056
25213,5986,1
25213,5987,3
25213,8015,18100
25213,8017,22200
25213,8018,3578
25213,8020,12771
25213,8021,1597
25213,8022,83
25214,640,1790
25214,987,4
25214,1684,454
25214,1779,274
25214,1794,446
25214,1866,20
25214,2194,40312
25214,4412,13593
25214,4555,2108
25214,5247,6
25214,5464,5
25214,5685,35
25214,5922,1872
25214,5984,6
25214,5986,157
25214,5987,3
25214,5991,86
25214,5999,2579
25214,8015,17
25214,8018,49
25214,8020,17
25214,8021,1706
25215,4412,1
25215,4555,25
25215,5685,18
25215,5991,1
25215,6420,263
25215,8018,5788
25215,8021,9
25216,640,98
25216,2858,36
25216,4555,1
25216,5685,24
25216,5922,702
25216,6421,729
25216,8015,719
25216,8018,5761
25216,8021,128
25217,505,351
25217,615,386
25217,640,7627
25217,987,5
25217,1684,22136
25217,1779,8
25217,1866,4
25217,1884,380
25217,2858,31
25217,3094,767
25217,3187,413
25217,4215,1
25217,4535,343
25217,5247,8376
25217,5666,74
25217,5670,1829
25217,5685,641
25217,5922,394501
25217,5986,5
25217,5987,1
25217,5991,10
25217,6451,2216
25217,6691,7226
25217,6692,256
25217,6693,447
25217,8015,68294
25217,8018,128011
25217,8020,104870
25217,8021,14740
25217,8022,459
25217,8023,1872
25217,8024,149
25218,490,262
25218,597,2224
25218,640,9
25218,987,1
25218,1866,9
25218,2855,2
25218,2856,1
25218,2858,1
25218,4412,21468
25218,4555,1517
25218,5097,1
25218,5122,5
25218,5127,8
25218,5136,5
25218,5247,3
25218,5463,12
25218,5464,4
25218,5474,45416
25218,5983,4
25218,5986,25
25218,5991,37
25218,8021,19
25219,490,2202
25219,1866,40
25219,2808,22
25219,2809,46
25219,2855,15
25219,2897,110
25219,4412,38
25219,5097,13
25219,5122,11
25219,5124,2
25219,5127,182
25219,5128,8
25219,5129,1
25219,5131,1
25219,5133,1
25219,5135,5
25219,5136,79
25219,5137,2
25219,5140,3
25219,5141,21
25219,5144,3
25219,5146,8
25219,5147,5
25219,5247,1
25219,5463,28
25219,5464,84
25219,5520,2
25219,5986,2
25219,5991,66
