,id,objectid_1,marregion,mrgid,iho_sea,iho_id,iho_mrgid,eez,eez_id,country,sovereign,sov_id,eez_mrgid,longitude,latitude,area_m2
413,eez_iho_union_v2.406,413,Greek part of the Adriatic Sea,25613,Adriatic Sea,28g,3314,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,193.592.666.064,39.897.385.805.433,2296864794
414,eez_iho_union_v2.407,414,Albanian part of the Adriatic Sea,25614,Adriatic Sea,28g,3314,Albanian Exclusive Economic Zone,82,Albania,Albania,82,5670,19.147.386.207.792,4.087.372.742.883,11247977360
415,eez_iho_union_v2.408,415,Italian part of the Adriatic Sea,25615,Adriatic Sea,28g,3314,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,15.424.150.595.968,4.261.874.422.783,62707996170
416,eez_iho_union_v2.409,416,Croatian part of the Adriatic Sea,25617,Adriatic Sea,28g,3314,Croatian Exclusive Economic Zone,187,Croatia,Croatia,187,5673,15.645.810.500.073,43.436.255.912.864,56131583470
191,eez_iho_union_v2.410,417,Slovenian part of the Adriatic Sea,25619,Adriatic Sea,28g,3314,Slovenian Exclusive Economic Zone,188,Slovenia,Slovenia,188,5692,13.601.083.016.143,45.574.893.960.705,195772648.3
309,eez_iho_union_v2.411,418,Bosnian and Herzegovinian part of the Adriatic Sea,25620,Adriatic Sea,28g,3314,Bosnian and Herzegovinian Exclusive Economic Zone,232,Bosnia and Herzegovina,Bosnia and Herzegovina,232,22491,17.592.964.566.011,42.916.542.809.133,17609028.83
418,eez_iho_union_v2.412,419,Montenegrin part of the Adriatic Sea,25616,Adriatic Sea,28g,3314,Montenegrin Exclusive Economic Zone,186,Montenegro,Montenegro,186,5691,18.692.989.854.472,4.181.631.760.934,7479866915
424,eez_iho_union_v2.416,423,Turkish part of the Aegean Sea,25624,Aegean Sea,28h,3315,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,26.784.340.977.744,38.607.858.498.726,14420870140
425,eez_iho_union_v2.417,424,Greek part of the Aegean Sea,25625,Aegean Sea,28h,3315,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,25.039.299.494.706,3.779.732.556.433,1,77482E+11
407,eez_iho_union_v2.396,403,Gibraltarian part of the Alboran Sea,25606,Alboran Sea,28b,3324,Gibraltarian Exclusive Economic Zone,60,Gibraltar,United Kingdom,180,8365,-5.180.698.160.105,36.088.454.237.396,374194007.8
408,eez_iho_union_v2.397,404,Algerian part of the Alboran Sea,25603,Alboran Sea,28b,3324,Algerian Exclusive Economic Zone,84,Algeria,Algeria,84,8378,-1.758.345.006.954,35.568.491.730.151,6921079851
151,eez_iho_union_v2.398,405,Spanish part of the Alboran Sea,25604,Alboran Sea,28b,3324,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-3.463.509.672.254,36.235.906.995.452,28875353410
218,eez_iho_union_v2.399,406,Moroccan part of the Alboran Sea,25602,Alboran Sea,28b,3324,Moroccan Exclusive Economic Zone,62,Morocco,Morocco,62,8367,-3.679.463.461.555,35.519.761.082.258,18017500110
310,eez_iho_union_v2.400,407,Spanish part of the Balearic Sea,25607,Balearic Sea,28c,3322,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,194.575.481.177,40.087.056.750.894,80442736660
